<Mickey_Rooney>	YAGOIMG00001
<Downton_Abbey>	YAGOIMG00002
<Victor_Miller_(writer)>	YAGOIMG00003
<Chicken_Little_(2005_film)>	YAGOIMG00004
<Bellevue,_Washington>	YAGOIMG00005
<Belfast>	YAGOIMG00006
<Mark_Damon>	YAGOIMG00007
<Patrick_Warburton>	YAGOIMG00008
<David_A._Stewart>	YAGOIMG00009
<Calvin_College>	YAGOIMG00010
<Shanghai_Knights>	YAGOIMG00011
<Being_John_Malkovich>	YAGOIMG00012
<Enosis_Neon_Paralimni_FC>	YAGOIMG00013
<The_Unbearable_Lightness_of_Being_(film)>	YAGOIMG00014
<Ben_Stiller>	YAGOIMG00015
<In_America_(film)>	YAGOIMG00016
<Tamil_Nadu>	YAGOIMG00017
<Joaquin_Phoenix>	YAGOIMG00018
<Milwaukee_Admirals>	YAGOIMG00019
<Albany,_Georgia>	YAGOIMG00020
<MeTV>	YAGOIMG00021
<A.I._Artificial_Intelligence>	YAGOIMG00022
<Saint_Patrick>	YAGOIMG00023
<Rock_Hudson>	YAGOIMG00024
<Philips_Records>	YAGOIMG00025
<SOAS,_University_of_London>	YAGOIMG00026
<Sinclair_Broadcast_Group>	YAGOIMG00027
<Megan_McTavish>	YAGOIMG00028
<Sioux_Falls,_South_Dakota>	YAGOIMG00029
<Eureka,_California>	YAGOIMG00030
<Malta>	YAGOIMG00031
<Dave_Foley>	YAGOIMG00032
<San_Luis_Obispo,_California>	YAGOIMG00033
<Oliver_Cromwell>	YAGOIMG00034
<Europe>	YAGOIMG00035
<Mr._Deeds>	YAGOIMG00036
<The_Men_Who_Stare_at_Goats_(film)>	YAGOIMG00037
<Howards_End_(film)>	YAGOIMG00038
<Witness_(1985_film)>	YAGOIMG00039
<Tamil_language>	YAGOIMG00040
<Robert_Carlock>	YAGOIMG00041
<David_Koechner>	YAGOIMG00042
<Happy_Madison_Productions>	YAGOIMG00043
<Asheville,_North_Carolina>	YAGOIMG00044
<Casablanca_(film)>	YAGOIMG00045
<Beverly,_Massachusetts>	YAGOIMG00046
<Dan_Grimaldi>	YAGOIMG00047
<The_Holocaust>	YAGOIMG00048
<Pierce_Brosnan>	YAGOIMG00049
<Days_of_Thunder>	YAGOIMG00050
<Royal_Academy_of_Music>	YAGOIMG00051
<Nunnally_Johnson>	YAGOIMG00052
<Lisa_Gay_Hamilton>	YAGOIMG00053
<Eastern_North_Carolina>	YAGOIMG00054
<University_College_London>	YAGOIMG00055
<T_Bone_Burnett>	YAGOIMG00056
<Girl,_Interrupted_(film)>	YAGOIMG00057
<Muse_(band)>	YAGOIMG00058
<The_Pirate_Movie>	YAGOIMG00059
<The_Shining_(film)>	YAGOIMG00060
<Holy_Cross_Cemetery,_Culver_City>	YAGOIMG00061
<Vince_McMahon>	YAGOIMG00062
<Melville_Shavelson>	YAGOIMG00063
<Portland_State_University>	YAGOIMG00064
<Vic_Mignogna>	YAGOIMG00065
<Holland_Taylor>	YAGOIMG00066
<Concord,_Massachusetts>	YAGOIMG00067
<Fargo,_North_Dakota>	YAGOIMG00068
<Tony_Award_for_Best_Actor_in_a_Musical>	YAGOIMG00069
<Marriott_International>	YAGOIMG00070
<Ipswich_Town_F.C.>	YAGOIMG00071
<Academy_Award_for_Best_Original_Screenplay>	YAGOIMG00072
<John_F._Kennedy_International_Airport>	YAGOIMG00073
<Jermaine_Dupri>	YAGOIMG00074
<Waddy_Wachtel>	YAGOIMG00075
<Tampa_Bay_Lightning>	YAGOIMG00076
<Mattel>	YAGOIMG00077
<Peoria_County,_Illinois>	YAGOIMG00078
<Ashton_Kutcher>	YAGOIMG00079
<Grindhouse_(film)>	YAGOIMG00080
<A_Streetcar_Named_Desire_(1951_film)>	YAGOIMG00081
<Northwestern_State_University>	YAGOIMG00082
<Republic_of_Ireland_national_football_team>	YAGOIMG00083
<Dakota_Fanning>	YAGOIMG00084
<Neil_Gaiman>	YAGOIMG00085
<University_of_Tulsa>	YAGOIMG00086
<Henry_David_Thoreau>	YAGOIMG00087
<Saeed_Jaffrey>	YAGOIMG00088
<United_93_(film)>	YAGOIMG00089
<Valenciennes_FC>	YAGOIMG00090
<The_City_of_Lost_Children>	YAGOIMG00091
<Bill_Paxton>	YAGOIMG00092
<University_of_Jena>	YAGOIMG00093
<FC_Rubin_Kazan>	YAGOIMG00094
<Port_Huron,_Michigan>	YAGOIMG00095
<Reading,_Berkshire>	YAGOIMG00096
<Chandler,_Arizona>	YAGOIMG00097
<University_of_California,_Riverside>	YAGOIMG00098
<Robin_Gibb>	YAGOIMG00099
<Satish_Kaushik>	YAGOIMG00100
<Don_Ameche>	YAGOIMG00101
<I_Spy_(film)>	YAGOIMG00102
<Cleopatra_(1963_film)>	YAGOIMG00103
<Leonard_Bernstein>	YAGOIMG00104
<Stephen_Goosson>	YAGOIMG00105
<Darren_Aronofsky>	YAGOIMG00106
<Kraftwerk>	YAGOIMG00107
<Leicester_City_F.C.>	YAGOIMG00108
<King's_College,_Cambridge>	YAGOIMG00109
<Comedy_Central>	YAGOIMG00110
<Dan_Stevens>	YAGOIMG00111
<A_League_of_Their_Own>	YAGOIMG00112
<Wayne_Shorter>	YAGOIMG00113
<Brett_Ratner>	YAGOIMG00114
<St._Louis>	YAGOIMG00115
<William_Howard_Taft>	YAGOIMG00116
<Sleepy_Hollow_(film)>	YAGOIMG00117
<Burlington,_Iowa>	YAGOIMG00118
<Darlington_F.C.>	YAGOIMG00119
